,Daily Global Risk Appetite,Equity-Only Risk Appetite,US Credit Risk Appetite (New)
28/03/1990,-0.12,0.04,NA
29/03/1990,-0.15,0,NA
30/03/1990,-0.15,0.01,NA
02/04/1990,-0.21,0.01,NA
03/04/1990,-0.21,-0.07,NA
04/04/1990,-0.2,-0.03,NA
05/04/1990,-0.19,-0.05,NA
06/04/1990,-0.22,-0.1,NA
09/04/1990,-0.25,-0.15,NA
10/04/1990,-0.28,-0.18,NA
11/04/1990,-0.24,-0.16,NA
12/04/1990,-0.24,-0.18,NA
13/04/1990,-0.24,-0.19,NA
16/04/1990,-0.19,-0.16,NA
17/04/1990,-0.12,-0.11,NA
18/04/1990,-0.03,-0.03,NA
19/04/1990,0.04,0.03,NA
20/04/1990,0.12,0.1,NA
23/04/1990,0.16,0.17,NA
24/04/1990,0.14,0.14,NA
25/04/1990,0.15,0.12,NA
26/04/1990,0.26,0.21,NA
27/04/1990,0.3,0.29,NA
30/04/1990,0.3,0.28,NA
01/05/1990,0.28,0.24,NA
02/05/1990,0.34,0.26,NA
03/05/1990,0.43,0.35,NA
04/05/1990,0.49,0.42,NA
07/05/1990,0.54,0.43,NA
08/05/1990,0.49,0.38,NA
09/05/1990,0.47,0.35,NA
10/05/1990,0.51,0.39,NA
11/05/1990,0.47,0.34,NA
14/05/1990,0.49,0.35,NA
15/05/1990,0.44,0.31,NA
16/05/1990,0.49,0.36,NA
17/05/1990,0.55,0.42,NA
18/05/1990,0.59,0.46,NA
21/05/1990,0.55,0.41,NA
22/05/1990,0.63,0.5,NA
23/05/1990,0.63,0.51,NA
24/05/1990,0.57,0.46,NA
25/05/1990,0.64,0.55,NA
28/05/1990,0.56,0.48,NA
29/05/1990,0.55,0.43,NA
30/05/1990,0.54,0.42,NA
31/05/1990,0.57,0.45,NA
01/06/1990,0.55,0.45,NA
04/06/1990,0.42,0.3,NA
05/06/1990,0.47,0.36,NA
06/06/1990,0.49,0.41,NA
07/06/1990,0.44,0.38,NA
08/06/1990,0.47,0.45,NA
11/06/1990,0.3,0.29,NA
12/06/1990,0.22,0.17,NA
13/06/1990,0.15,0.15,NA
14/06/1990,0.08,0.1,NA
15/06/1990,0.02,0.04,NA
18/06/1990,0.05,0.12,NA
19/06/1990,0.04,0.1,NA
20/06/1990,0.06,0.11,NA
21/06/1990,0.06,0.12,NA
22/06/1990,0,0.1,NA
25/06/1990,0.11,0.23,NA
26/06/1990,0.1,0.23,NA
27/06/1990,0.04,0.15,NA
28/06/1990,0.08,0.19,NA
29/06/1990,0.04,0.15,NA
02/07/1990,0.04,0.13,NA
03/07/1990,0.04,0.14,NA
04/07/1990,0.05,0.15,NA
05/07/1990,0.03,0.18,NA
06/07/1990,0.02,0.13,NA
09/07/1990,0.01,0.1,NA
10/07/1990,-0.03,0.09,NA
11/07/1990,-0.1,-0.04,NA
12/07/1990,-0.16,-0.13,NA
13/07/1990,-0.19,-0.17,NA
16/07/1990,-0.25,-0.27,NA
17/07/1990,-0.24,-0.26,NA
18/07/1990,-0.1,-0.12,NA
19/07/1990,0.02,-0.02,NA
20/07/1990,0.07,0.07,NA
23/07/1990,0.29,0.37,NA
24/07/1990,0.17,0.24,NA
25/07/1990,0.17,0.23,NA
26/07/1990,0.26,0.36,NA
27/07/1990,0.28,0.43,NA
30/07/1990,0.25,0.41,NA
31/07/1990,0.45,0.58,NA
01/08/1990,0.6,0.76,NA
02/08/1990,0.73,0.94,NA
03/08/1990,0.73,1.02,NA
06/08/1990,0.56,0.95,NA
07/08/1990,0.59,0.92,NA
08/08/1990,0.38,0.69,NA
09/08/1990,0.1,0.4,NA
10/08/1990,0.19,0.53,NA
13/08/1990,0.07,0.43,NA
14/08/1990,-0.01,0.34,NA
15/08/1990,-0.06,0.25,NA
16/08/1990,0.03,0.41,NA
17/08/1990,0.03,0.49,NA
20/08/1990,-0.16,0.31,NA
21/08/1990,-0.41,0.13,NA
22/08/1990,-0.52,0.05,NA
23/08/1990,-0.71,-0.02,NA
24/08/1990,-0.83,-0.23,NA
27/08/1990,-0.76,-0.26,NA
28/08/1990,-0.6,-0.11,NA
29/08/1990,-0.71,-0.22,NA
30/08/1990,-0.71,-0.2,NA
31/08/1990,-0.72,-0.23,NA
03/09/1990,-0.85,-0.34,NA
04/09/1990,-0.87,-0.36,NA
05/09/1990,-0.82,-0.28,NA
06/09/1990,-0.86,-0.27,NA
07/09/1990,-0.85,-0.29,NA
10/09/1990,-0.8,-0.27,NA
11/09/1990,-0.89,-0.34,NA
12/09/1990,-0.85,-0.33,NA
13/09/1990,-0.73,-0.15,NA
14/09/1990,-0.74,-0.12,NA
17/09/1990,-0.71,-0.09,NA
18/09/1990,-0.58,0.07,NA
19/09/1990,-0.62,0.09,NA
20/09/1990,-0.62,0.16,NA
21/09/1990,-0.62,0.14,NA
24/09/1990,-0.65,0.16,NA
25/09/1990,-0.82,-0.02,NA
26/09/1990,-0.82,-0.02,NA
27/09/1990,-0.74,0.11,NA
28/09/1990,-0.77,0.12,NA
01/10/1990,-0.89,-0.07,NA
02/10/1990,-0.8,-0.06,NA
03/10/1990,-0.76,0.03,NA
04/10/1990,-0.91,-0.1,NA
05/10/1990,-1.03,-0.22,NA
08/10/1990,-1.08,-0.33,NA
09/10/1990,-1.15,-0.33,NA
10/10/1990,-1.23,-0.37,NA
11/10/1990,-1.28,-0.37,NA
12/10/1990,-1.4,-0.52,NA
15/10/1990,-1.44,-0.61,NA
16/10/1990,-1.51,-0.64,NA
17/10/1990,-1.55,-0.67,NA
18/10/1990,-1.6,-0.8,NA
19/10/1990,-1.75,-1.01,NA
22/10/1990,-1.71,-1.01,NA
23/10/1990,-1.63,-0.92,NA
24/10/1990,-1.62,-0.89,NA
25/10/1990,-1.63,-0.87,NA
26/10/1990,-1.65,-0.8,NA
29/10/1990,-1.68,-0.8,NA
30/10/1990,-1.74,-0.87,NA
31/10/1990,-1.85,-0.97,NA
01/11/1990,-1.92,-1.02,NA
02/11/1990,-1.95,-1.07,NA
05/11/1990,-1.92,-1.06,NA
06/11/1990,-1.95,-1.05,NA
07/11/1990,-1.81,-0.83,NA
08/11/1990,-1.88,-0.89,NA
09/11/1990,-1.98,-1.04,NA
12/11/1990,-2.04,-1.17,NA
13/11/1990,-1.94,-1.04,NA
14/11/1990,-1.93,-1.02,NA
15/11/1990,-1.87,-0.92,NA
16/11/1990,-1.91,-0.92,NA
19/11/1990,-1.84,-0.88,NA
20/11/1990,-1.82,-0.8,NA
21/11/1990,-1.82,-0.77,NA
22/11/1990,-1.75,-0.7,NA
23/11/1990,-1.79,-0.74,NA
26/11/1990,-1.91,-0.84,NA
27/11/1990,-1.94,-0.9,NA
28/11/1990,-1.92,-0.85,NA
29/11/1990,-1.94,-0.85,NA
30/11/1990,-2.01,-0.96,NA
03/12/1990,-1.91,-0.88,NA
04/12/1990,-1.96,-0.92,NA
05/12/1990,-1.96,-0.96,NA
06/12/1990,-1.91,-0.95,NA
07/12/1990,-1.8,-0.8,NA
10/12/1990,-1.88,-0.87,NA
11/12/1990,-1.94,-0.9,NA
12/12/1990,-1.95,-0.95,NA
13/12/1990,-1.89,-0.92,NA
14/12/1990,-1.9,-0.93,NA
17/12/1990,-2.09,-1.1,NA
18/12/1990,-2.24,-1.27,NA
19/12/1990,-2.19,-1.22,NA
20/12/1990,-2.74,-1.65,NA
21/12/1990,-2.76,-1.7,NA
24/12/1990,-2.72,-1.67,NA
25/12/1990,-2.74,-1.71,NA
26/12/1990,-2.86,-1.81,NA
27/12/1990,-2.78,-1.65,NA
28/12/1990,-2.77,-1.65,NA
31/12/1990,-2.81,-1.68,NA
01/01/1991,-2.82,-1.68,NA
02/01/1991,-2.94,-1.7,NA
03/01/1991,-2.96,-1.67,NA
04/01/1991,-2.86,-1.55,NA
07/01/1991,-2.91,-1.56,NA
08/01/1991,-3.08,-1.72,NA
09/01/1991,-2.99,-1.62,NA
10/01/1991,-3.19,-1.85,NA
11/01/1991,-3.18,-1.86,NA
14/01/1991,-3.21,-1.86,NA
15/01/1991,-3.32,-2.01,NA
16/01/1991,-3.4,-2.12,NA
17/01/1991,-3.24,-2.14,NA
18/01/1991,-3.15,-2.12,NA
21/01/1991,-3.17,-2.11,NA
22/01/1991,-3.17,-2.1,NA
23/01/1991,-3.31,-2.28,NA
24/01/1991,-3.16,-2.22,NA
25/01/1991,-3.1,-2.23,NA
28/01/1991,-2.92,-2.05,NA
29/01/1991,-2.92,-2.05,NA
30/01/1991,-2.86,-2.11,NA
31/01/1991,-2.79,-2.1,NA
01/02/1991,-2.83,-2.11,NA
04/02/1991,-2.5,-1.87,NA
05/02/1991,-2.37,-1.81,NA
06/02/1991,-2.38,-1.96,NA
07/02/1991,-2.31,-1.94,NA
08/02/1991,-2.33,-2.06,NA
11/02/1991,-2.22,-2.15,NA
12/02/1991,-2.07,-1.99,NA
13/02/1991,-2.02,-2.05,NA
14/02/1991,-1.78,-1.74,NA
15/02/1991,-1.68,-1.73,NA
18/02/1991,-1.42,-1.53,NA
19/02/1991,-1.21,-1.33,NA
20/02/1991,-1.19,-1.23,NA
21/02/1991,-1.12,-1.2,NA
22/02/1991,-1.08,-1.21,NA
25/02/1991,-0.91,-1.12,NA
26/02/1991,-0.84,-0.96,NA
27/02/1991,-0.87,-1.11,NA
28/02/1991,-0.6,-0.85,NA
01/03/1991,-0.64,-1.02,NA
04/03/1991,-0.75,-1.21,NA
05/03/1991,-0.72,-1.37,NA
06/03/1991,-0.59,-1.32,NA
07/03/1991,-0.56,-1.26,NA
08/03/1991,-0.52,-1.24,NA
11/03/1991,-0.41,-1.05,NA
12/03/1991,-0.35,-0.95,NA
13/03/1991,-0.37,-1.07,NA
14/03/1991,-0.3,-1.09,NA
15/03/1991,-0.05,-0.9,NA
18/03/1991,0.06,-0.82,NA
19/03/1991,0.27,-0.47,NA
20/03/1991,0.18,-0.55,NA
21/03/1991,0.49,-0.13,NA
22/03/1991,0.57,-0.01,NA
25/03/1991,0.59,-0.07,NA
26/03/1991,0.58,-0.26,NA
27/03/1991,0.79,0.01,NA
28/03/1991,0.97,0.2,NA
29/03/1991,1.06,0.27,NA
01/04/1991,1.35,0.72,NA
02/04/1991,1.35,0.44,NA
03/04/1991,1.62,0.68,NA
04/04/1991,1.63,0.68,NA
05/04/1991,1.76,0.94,NA
08/04/1991,1.66,0.78,NA
09/04/1991,1.74,1.03,NA
10/04/1991,1.62,0.87,NA
11/04/1991,1.54,0.66,NA
12/04/1991,1.67,0.82,NA
15/04/1991,1.74,0.9,NA
16/04/1991,1.55,0.51,NA
17/04/1991,1.7,0.59,NA
18/04/1991,1.84,0.8,NA
19/04/1991,1.88,0.94,NA
22/04/1991,1.8,0.97,NA
23/04/1991,1.81,0.92,NA
24/04/1991,1.87,1,NA
25/04/1991,1.86,1.07,NA
26/04/1991,1.82,1.03,NA
29/04/1991,1.65,0.89,NA
30/04/1991,1.72,1.03,NA
01/05/1991,1.71,0.86,NA
02/05/1991,1.67,0.81,NA
03/05/1991,1.69,0.77,NA
06/05/1991,1.7,0.79,NA
07/05/1991,1.77,0.92,NA
08/05/1991,1.76,0.88,NA
09/05/1991,1.82,0.81,NA
10/05/1991,2.03,1.22,NA
13/05/1991,1.97,1.17,NA
14/05/1991,2.11,1.47,NA
15/05/1991,2.02,1.44,NA
16/05/1991,2.1,1.47,NA
17/05/1991,2.25,1.7,NA
20/05/1991,2.24,1.68,NA
21/05/1991,2.34,1.77,NA
22/05/1991,2.43,1.86,NA
23/05/1991,2.48,1.92,NA
24/05/1991,2.52,1.96,NA
27/05/1991,2.5,1.94,NA
28/05/1991,2.4,1.73,NA
29/05/1991,2.53,1.85,NA
30/05/1991,2.45,1.65,NA
31/05/1991,2.66,1.8,NA
03/06/1991,2.73,1.86,NA
04/06/1991,2.77,1.97,NA
05/06/1991,2.81,2.06,NA
06/06/1991,2.8,2.1,NA
07/06/1991,3.01,2.49,NA
10/06/1991,3.02,2.56,NA
11/06/1991,3.03,2.48,NA
12/06/1991,3.1,2.67,NA
13/06/1991,3.01,2.55,NA
14/06/1991,3.08,2.55,NA
17/06/1991,3,2.5,NA
18/06/1991,2.91,2.43,NA
19/06/1991,2.94,2.64,NA
20/06/1991,2.97,2.68,NA
21/06/1991,3.07,2.7,NA
24/06/1991,3.02,2.83,NA
25/06/1991,2.99,2.73,NA
26/06/1991,3.09,2.87,NA
27/06/1991,3.12,2.86,NA
28/06/1991,3.04,2.93,NA
01/07/1991,3,2.6,NA
02/07/1991,2.96,2.52,NA
03/07/1991,2.81,2.49,NA
04/07/1991,2.81,2.48,NA
05/07/1991,2.89,2.56,NA
08/07/1991,2.67,2.23,NA
09/07/1991,2.76,2.28,NA
10/07/1991,2.88,2.35,NA
11/07/1991,2.85,2.31,NA
12/07/1991,2.89,2.32,NA
15/07/1991,2.81,2.11,NA
16/07/1991,2.74,2.02,NA
17/07/1991,2.67,1.96,NA
18/07/1991,2.62,1.81,NA
19/07/1991,2.79,2.1,NA
22/07/1991,2.78,2.17,NA
23/07/1991,2.72,2.15,NA
24/07/1991,2.67,2.16,NA
25/07/1991,2.64,2.14,NA
26/07/1991,2.52,2.02,NA
29/07/1991,2.47,1.99,NA
30/07/1991,2.51,1.99,NA
31/07/1991,2.48,2,NA
01/08/1991,2.47,2.07,NA
02/08/1991,2.28,1.94,NA
05/08/1991,2.27,2.1,NA
06/08/1991,2.1,1.9,NA
07/08/1991,1.89,1.66,NA
08/08/1991,1.83,1.62,NA
09/08/1991,1.91,1.9,NA
12/08/1991,1.79,1.85,NA
13/08/1991,1.48,1.44,NA
14/08/1991,1.5,1.52,NA
15/08/1991,1.58,1.72,NA
16/08/1991,1.53,1.82,NA
19/08/1991,0.74,1.4,NA
20/08/1991,0.91,1.52,NA
21/08/1991,1.23,1.71,NA
22/08/1991,1.69,2.33,NA
23/08/1991,1.32,1.76,NA
26/08/1991,1.09,1.45,NA
27/08/1991,0.9,1.24,NA
28/08/1991,1.03,1.46,NA
29/08/1991,1.18,1.73,NA
30/08/1991,1.2,1.73,NA
02/09/1991,1.29,1.86,NA
03/09/1991,1.14,1.75,NA
04/09/1991,1.03,1.69,NA
05/09/1991,1.08,1.78,NA
06/09/1991,1.09,1.83,NA
09/09/1991,1.06,1.87,NA
10/09/1991,0.99,1.91,NA
11/09/1991,0.86,1.7,NA
12/09/1991,0.76,1.51,NA
13/09/1991,0.91,1.73,NA
16/09/1991,0.65,1.35,NA
17/09/1991,0.56,1.22,NA
18/09/1991,0.63,1.31,NA
19/09/1991,0.62,1.27,NA
20/09/1991,0.56,1.22,NA
23/09/1991,0.4,1.07,NA
24/09/1991,0.24,0.82,NA
25/09/1991,0.36,0.94,NA
26/09/1991,0.31,0.9,NA
27/09/1991,0.22,0.84,NA
30/09/1991,0.04,0.6,NA
01/10/1991,0.26,0.81,NA
02/10/1991,0.12,0.66,NA
03/10/1991,0.11,0.76,NA
04/10/1991,0.21,0.99,NA
07/10/1991,0.33,1.24,NA
08/10/1991,0.26,1.14,NA
09/10/1991,0.22,1.1,NA
10/10/1991,0.12,0.91,NA
11/10/1991,0.38,1.27,NA
14/10/1991,0.24,1.05,NA
15/10/1991,0.21,0.9,NA
16/10/1991,0.28,0.97,NA
17/10/1991,0.37,1.05,NA
18/10/1991,0.34,0.98,NA
21/10/1991,0.35,0.98,NA
22/10/1991,0.25,0.89,NA
23/10/1991,0.43,1.08,NA
24/10/1991,0.35,1.04,NA
25/10/1991,0.3,1.01,NA
28/10/1991,0.11,0.7,NA
29/10/1991,-0.01,0.55,NA
30/10/1991,0.14,0.71,NA
31/10/1991,0.2,0.79,NA
01/11/1991,0.29,0.92,NA
04/11/1991,0.17,0.79,NA
05/11/1991,0.07,0.65,NA
06/11/1991,0.02,0.61,NA
07/11/1991,-0.17,0.39,NA
08/11/1991,-0.09,0.51,NA
11/11/1991,-0.12,0.48,NA
12/11/1991,-0.2,0.34,NA
13/11/1991,-0.32,0.17,NA
14/11/1991,-0.39,0.15,NA
15/11/1991,-0.26,0.64,NA
18/11/1991,-0.69,0.16,NA
19/11/1991,-0.73,0.25,NA
20/11/1991,-0.68,0.35,NA
21/11/1991,-0.86,0.12,NA
22/11/1991,-0.9,0.14,NA
25/11/1991,-0.95,0.14,NA
26/11/1991,-0.79,0.28,NA
27/11/1991,-0.65,0.53,NA
28/11/1991,-0.8,0.39,NA
29/11/1991,-0.8,0.46,NA
02/12/1991,-0.88,0.41,NA
03/12/1991,-0.66,0.7,NA
04/12/1991,-0.73,0.67,NA
05/12/1991,-0.69,0.82,NA
06/12/1991,-0.71,0.8,NA
09/12/1991,-0.75,0.78,NA
10/12/1991,-0.72,0.89,NA
11/12/1991,-0.76,0.88,NA
12/12/1991,-0.7,0.84,NA
13/12/1991,-0.6,0.8,NA
16/12/1991,-0.5,0.92,NA
17/12/1991,-0.38,1.09,NA
18/12/1991,-0.32,1.16,NA
19/12/1991,-0.32,1.26,NA
20/12/1991,-0.27,1.37,NA
23/12/1991,-0.15,1.41,NA
24/12/1991,-0.08,1.44,NA
25/12/1991,-0.05,1.47,NA
26/12/1991,-0.06,1.31,NA
27/12/1991,0.12,1.49,NA
30/12/1991,0.31,1.53,NA
31/12/1991,0.39,1.56,NA
01/01/1992,0.42,1.59,NA
02/01/1992,0.64,1.83,NA
03/01/1992,0.81,1.93,NA
06/01/1992,1.09,2.24,NA
07/01/1992,0.97,2.2,NA
08/01/1992,0.86,2.15,NA
09/01/1992,0.99,2.27,NA
10/01/1992,1.18,2.58,NA
13/01/1992,1.29,2.72,NA
14/01/1992,1.21,2.4,NA
15/01/1992,0.97,2.03,NA
16/01/1992,1.34,2.6,NA
17/01/1992,1.3,2.62,NA
20/01/1992,1.41,2.82,NA
21/01/1992,1.37,2.9,NA
22/01/1992,1.29,2.66,NA
23/01/1992,1.71,3.1,NA
24/01/1992,1.96,3.39,NA
27/01/1992,2.16,3.61,NA
28/01/1992,2.1,3.54,NA
29/01/1992,2.03,3.51,NA
30/01/1992,1.71,3.01,NA
31/01/1992,1.78,3.08,NA
03/02/1992,1.62,2.81,NA
04/02/1992,1.66,2.79,NA
05/02/1992,1.38,2.47,NA
06/02/1992,1.17,2.22,NA
07/02/1992,1.33,2.48,NA
10/02/1992,1.18,2.24,NA
11/02/1992,1.06,2.06,NA
12/02/1992,1.08,2.03,NA
13/02/1992,0.89,1.82,NA
14/02/1992,0.9,1.85,NA
17/02/1992,0.74,1.64,NA
18/02/1992,0.71,1.69,NA
19/02/1992,0.83,1.83,NA
20/02/1992,0.89,1.78,NA
21/02/1992,1.12,2,NA
24/02/1992,1.08,1.89,NA
25/02/1992,0.97,1.81,NA
26/02/1992,0.82,1.54,NA
27/02/1992,0.85,1.58,NA
28/02/1992,0.75,1.48,NA
02/03/1992,0.82,1.47,NA
03/03/1992,0.9,1.6,NA
04/03/1992,0.88,1.68,NA
05/03/1992,0.98,1.85,NA
06/03/1992,0.96,1.87,NA
09/03/1992,0.71,1.6,NA
10/03/1992,0.68,1.51,NA
11/03/1992,0.8,1.77,NA
12/03/1992,0.92,1.91,NA
13/03/1992,1.05,1.94,NA
16/03/1992,1.01,1.94,NA
17/03/1992,0.93,1.8,NA
18/03/1992,1.03,1.98,NA
19/03/1992,1.1,2,NA
20/03/1992,1.29,2.16,NA
23/03/1992,1.3,2.22,NA
24/03/1992,1.25,2.21,NA
25/03/1992,1.12,2.06,NA
26/03/1992,1.17,2.09,NA
27/03/1992,1.3,2.37,NA
30/03/1992,1.34,2.41,NA
31/03/1992,1.6,2.68,NA
01/04/1992,1.46,2.64,NA
02/04/1992,1.56,2.84,NA
03/04/1992,1.8,3.1,NA
06/04/1992,2.07,3.36,NA
07/04/1992,2.16,3.71,NA
08/04/1992,1.68,3.36,NA
09/04/1992,1.55,3.13,NA
10/04/1992,1.61,3.02,NA
13/04/1992,1.61,2.99,NA
14/04/1992,1.51,2.72,NA
15/04/1992,1.63,2.71,NA
16/04/1992,1.7,2.75,NA
17/04/1992,1.65,2.71,NA
20/04/1992,1.7,2.87,NA
21/04/1992,1.69,2.89,NA
22/04/1992,1.74,2.93,NA
23/04/1992,1.74,2.88,NA
24/04/1992,1.63,2.8,NA
27/04/1992,1.4,2.48,NA
28/04/1992,1.46,2.55,NA
29/04/1992,1.31,2.29,NA
30/04/1992,1.3,2.23,NA
01/05/1992,1.32,2.35,NA
04/05/1992,1.24,2.15,NA
05/05/1992,1.38,2.29,NA
06/05/1992,1.46,2.33,NA
07/05/1992,1.56,2.38,NA
08/05/1992,1.71,2.56,NA
11/05/1992,1.85,2.63,NA
12/05/1992,1.99,2.86,NA
13/05/1992,2.04,2.89,NA
14/05/1992,2.17,3.16,NA
15/05/1992,2.09,3.22,NA
18/05/1992,2.01,2.96,NA
19/05/1992,2.08,2.95,NA
20/05/1992,2.2,3.03,NA
21/05/1992,2.16,2.93,NA
22/05/1992,1.96,2.63,NA
25/05/1992,1.65,2.17,NA
26/05/1992,1.67,2.19,NA
27/05/1992,1.89,2.41,NA
28/05/1992,1.84,2.24,NA
29/05/1992,1.96,2.36,NA
01/06/1992,2.08,2.45,NA
02/06/1992,2.08,2.51,NA
03/06/1992,1.98,2.37,NA
04/06/1992,1.8,2.18,NA
05/06/1992,1.63,2.02,NA
08/06/1992,1.47,1.86,NA
09/06/1992,1.45,1.9,NA
10/06/1992,1.42,1.92,NA
11/06/1992,1.44,1.95,NA
12/06/1992,1.18,1.7,NA
15/06/1992,0.89,1.4,NA
16/06/1992,0.65,1.17,NA
17/06/1992,0.24,0.92,NA
18/06/1992,0.06,0.83,NA
19/06/1992,0.19,0.87,NA
22/06/1992,-0.26,0.43,NA
23/06/1992,-0.39,0.22,NA
24/06/1992,-0.59,0.11,NA
25/06/1992,-0.62,0.1,NA
26/06/1992,-0.56,0.25,NA
29/06/1992,-0.92,-0.22,NA
30/06/1992,-0.92,-0.22,NA
01/07/1992,-0.98,-0.34,NA
02/07/1992,-1,-0.3,NA
03/07/1992,-1.2,-0.5,NA
06/07/1992,-1.28,-0.56,NA
07/07/1992,-1.29,-0.42,NA
08/07/1992,-1.27,-0.38,NA
09/07/1992,-1.39,-0.62,NA
10/07/1992,-1.29,-0.48,NA
13/07/1992,-1.19,-0.38,NA
14/07/1992,-1.22,-0.46,NA
15/07/1992,-1.34,-0.58,NA
16/07/1992,-1.38,-0.58,NA
17/07/1992,-1.55,-0.67,NA
20/07/1992,-1.96,-1.01,NA
21/07/1992,-2.11,-1.19,NA
22/07/1992,-2.34,-1.3,NA
23/07/1992,-2.47,-1.45,NA
24/07/1992,-2.51,-1.43,NA
27/07/1992,-2.55,-1.43,NA
28/07/1992,-2.62,-1.59,NA
29/07/1992,-2.85,-1.97,NA
30/07/1992,-2.75,-1.91,NA
31/07/1992,-2.59,-1.79,NA
03/08/1992,-2.77,-2.02,NA
04/08/1992,-2.84,-2.04,NA
05/08/1992,-2.85,-2.03,NA
06/08/1992,-2.85,-2.01,NA
07/08/1992,-2.86,-1.89,NA
10/08/1992,-2.99,-1.95,NA
11/08/1992,-3.06,-1.95,NA
12/08/1992,-3.13,-1.99,NA
13/08/1992,-3.19,-2.08,NA
14/08/1992,-3.28,-2.23,NA
17/08/1992,-3.3,-2.28,NA
18/08/1992,-3.51,-2.41,NA
19/08/1992,-3.39,-2.26,NA
20/08/1992,-3.4,-2.35,NA
21/08/1992,-3.15,-2.22,NA
24/08/1992,-3,-2.06,NA
25/08/1992,-3.04,-2.07,NA
26/08/1992,-2.93,-1.96,NA
27/08/1992,-2.65,-1.76,NA
28/08/1992,-2.45,-1.62,NA
31/08/1992,-2.5,-1.7,NA
01/09/1992,-2.54,-1.73,NA
02/09/1992,-2.73,-1.92,NA
03/09/1992,-2.63,-1.95,NA
04/09/1992,-2.65,-1.9,NA
07/09/1992,-2.72,-1.94,NA
08/09/1992,-2.73,-1.85,NA
09/09/1992,-2.64,-1.83,NA
10/09/1992,-2.76,-2,NA
11/09/1992,-2.88,-2.14,NA
14/09/1992,-2.87,-2.3,NA
15/09/1992,-2.86,-2.21,NA
16/09/1992,-3.03,-2.4,NA
17/09/1992,-3.04,-2.49,NA
18/09/1992,-2.99,-2.55,NA
21/09/1992,-2.93,-2.47,NA
22/09/1992,-2.89,-2.4,NA
23/09/1992,-2.88,-2.42,NA
24/09/1992,-2.75,-2.29,NA
25/09/1992,-2.71,-2.11,NA
28/09/1992,-2.95,-2.33,NA
29/09/1992,-2.91,-2.28,NA
30/09/1992,-2.99,-2.36,NA
01/10/1992,-2.98,-2.24,NA
02/10/1992,-2.98,-2.13,NA
05/10/1992,-3.22,-2.26,NA
06/10/1992,-3.21,-2.34,NA
07/10/1992,-3.07,-2.24,NA
08/10/1992,-3.11,-2.39,NA
09/10/1992,-3.01,-2.21,NA
12/10/1992,-3.02,-2.31,NA
13/10/1992,-3.03,-2.41,NA
14/10/1992,-3,-2.36,NA
15/10/1992,-3.04,-2.41,NA
16/10/1992,-3.11,-2.49,NA
19/10/1992,-3.13,-2.57,NA
20/10/1992,-3.01,-2.54,NA
21/10/1992,-3,-2.5,NA
22/10/1992,-3,-2.43,NA
23/10/1992,-2.91,-2.31,NA
26/10/1992,-2.95,-2.39,NA
27/10/1992,-3,-2.43,NA
28/10/1992,-3.03,-2.43,NA
29/10/1992,-3,-2.34,NA
30/10/1992,-2.89,-2.23,NA
02/11/1992,-2.94,-2.41,NA
03/11/1992,-2.92,-2.36,NA
04/11/1992,-2.8,-2.18,NA
05/11/1992,-2.9,-2.29,NA
06/11/1992,-2.92,-2.32,NA
09/11/1992,-3.02,-2.42,NA
10/11/1992,-3,-2.4,NA
11/11/1992,-3.06,-2.51,NA
12/11/1992,-3.13,-2.56,NA
13/11/1992,-3.16,-2.6,NA
16/11/1992,-3.22,-2.67,NA
17/11/1992,-3.17,-2.56,NA
18/11/1992,-3.09,-2.59,NA
19/11/1992,-3.09,-2.62,NA
20/11/1992,-3.05,-2.63,NA
23/11/1992,-2.96,-2.54,NA
24/11/1992,-3,-2.61,NA
25/11/1992,-2.88,-2.54,NA
26/11/1992,-2.77,-2.45,NA
27/11/1992,-2.7,-2.46,NA
30/11/1992,-2.59,-2.41,NA
01/12/1992,-2.62,-2.41,NA
02/12/1992,-2.62,-2.41,NA
03/12/1992,-2.68,-2.47,NA
04/12/1992,-2.7,-2.5,NA
07/12/1992,-2.71,-2.57,NA
08/12/1992,-2.72,-2.6,NA
09/12/1992,-2.65,-2.57,NA
10/12/1992,-2.47,-2.37,NA
11/12/1992,-2.44,-2.34,NA
14/12/1992,-2.34,-2.25,NA
15/12/1992,-2.31,-2.27,NA
16/12/1992,-2.24,-2.16,NA
17/12/1992,-2.21,-2.23,NA
18/12/1992,-2.14,-2.34,NA
21/12/1992,-2.07,-2.29,NA
22/12/1992,-1.97,-2.2,NA
23/12/1992,-1.74,-1.95,NA
24/12/1992,-1.66,-1.88,NA
25/12/1992,-1.6,-1.83,NA
28/12/1992,-1.49,-1.69,NA
29/12/1992,-1.46,-1.66,NA
30/12/1992,-1.48,-1.64,NA
31/12/1992,-1.4,-1.52,NA
01/01/1993,-1.38,-1.49,NA
04/01/1993,-1.3,-1.38,NA
05/01/1993,-1.07,-1.1,NA
06/01/1993,-1.04,-1.08,NA
07/01/1993,-0.8,-0.81,NA
08/01/1993,-0.72,-0.67,NA
11/01/1993,-0.71,-0.65,NA
12/01/1993,-0.69,-0.64,NA
13/01/1993,-0.8,-0.78,NA
14/01/1993,-0.74,-0.77,NA
15/01/1993,-0.7,-0.74,NA
18/01/1993,-0.65,-0.69,NA
19/01/1993,-0.58,-0.61,NA
20/01/1993,-0.54,-0.53,NA
21/01/1993,-0.59,-0.63,NA
22/01/1993,-0.55,-0.59,NA
25/01/1993,-0.63,-0.67,NA
